Index,Date,Open,High,Low,Close
SENSEX,2024-01-04,71678.93,71954.79,71546.6,71847.57
SENSEX,2024-01-05,72016.71,72156.48,71779.83,72026.15
SENSEX,2024-01-08,72113.25,72181.77,71301.04,71355.22
SENSEX,2024-01-09,71770.91,72035.47,71307.27,71386.21
SENSEX,2024-01-10,71383.2,71733.84,71110.98,71657.71
SENSEX,2024-01-11,71907.75,71999.47,71543.19,71721.18
SENSEX,2024-01-12,72148.07,72720.96,71982.29,72568.45
SENSEX,2024-01-15,73049.87,73402.16,72909.0,73327.94
SENSEX,2024-01-16,73331.95,73427.59,72960.29,73128.77
SENSEX,2024-01-17,71998.93,72484.8,71429.3,71500.76
SENSEX,2024-01-18,71018.86,71451.29,70665.5,71186.86
SENSEX,2024-01-19,71786.74,71895.64,71542.74,71683.23
SENSEX,2024-01-23,71868.2,72039.2,70234.55,70370.55
SENSEX,2024-01-24,70165.49,71149.61,70001.6,71060.31
SENSEX,2024-01-25,71022.1,71049.46,70319.04,70700.67
SENSEX,2024-01-29,70968.1,72010.22,70880.54,71941.57
SENSEX,2024-01-30,72000.2,72142.23,71075.72,71139.9
SENSEX,2024-01-31,71073.04,71851.39,70846.04,71752.11
SENSEX,2024-02-01,71998.78,72151.02,71574.89,71645.3
SENSEX,2024-02-02,71977.56,73089.4,71948.77,72085.63
SENSEX,2024-02-05,72269.12,72385.93,71602.14,71731.42
SENSEX,2024-02-06,71970.82,72261.4,71625.18,72186.09
SENSEX,2024-02-07,72548.5,72559.21,71938.22,72152.0
SENSEX,2024-02-08,72473.42,72473.42,71230.62,71428.43
SENSEX,2024-02-09,71410.29,71676.49,71200.31,71595.49
SENSEX,2024-02-12,71722.31,71756.58,70922.57,71072.49
SENSEX,2024-02-13,71292.08,71662.74,70924.3,71555.19
SENSEX,2024-02-14,71035.25,71938.59,70809.84,71822.83
SENSEX,2024-02-15,72061.47,72164.97,71644.44,72050.38
SENSEX,2024-02-16,72406.02,72545.33,72218.1,72426.64
SENSEX,2024-02-19,72627.6,72881.93,72308.68,72708.16
SENSEX,2024-02-20,72727.87,73130.69,72510.24,73057.4
SENSEX,2024-02-21,73267.48,73267.8,72450.56,72623.09
SENSEX,2024-02-22,72677.51,73256.39,72081.36,73158.24
SENSEX,2024-02-23,73394.44,73413.93,73022.0,73142.8
SENSEX,2024-02-26,73044.81,73092.26,72666.82,72790.13
SENSEX,2024-02-27,72723.53,73161.3,72660.13,73095.22
SENSEX,2024-02-28,73162.82,73223.11,72222.29,72304.88
SENSEX,2024-02-29,72220.57,72730.0,72099.32,72500.3
SENSEX,2024-03-01,72606.31,73819.21,72591.14,73745.35
SENSEX,2024-03-04,73903.09,73990.13,73747.01,73872.29
SENSEX,2024-03-05,73767.42,73915.54,73412.25,73677.13
SENSEX,2024-03-06,73587.7,74151.27,73321.48,74085.99
SENSEX,2024-03-07,74242.74,74245.17,73921.48,74119.39
SENSEX,2024-03-11,74175.93,74187.35,73433.91,73502.64
SENSEX,2024-03-12,73516.42,74004.16,73342.12,73667.96
SENSEX,2024-03-13,73993.4,74052.75,72515.71,72761.89
SENSEX,2024-03-14,72570.1,73364.3,72497.19,73097.28
SENSEX,2024-03-15,72886.77,72998.07,72484.82,72643.43
SENSEX,2024-03-18,72587.3,72985.89,72314.16,72748.42
SENSEX,2024-03-19,72462.94,72490.09,71933.35,72012.05
SENSEX,2024-03-20,72036.86,72402.67,71674.42,72101.69
SENSEX,2024-03-21,72507.36,72882.46,72416.03,72641.19
SENSEX,2024-03-22,72231.66,73115.62,72172.09,72831.94
SENSEX,2024-03-26,72396.97,72705.29,72363.03,72470.3
SENSEX,2024-03-27,72692.16,73138.73,72600.73,72996.31
SENSEX,2024-03-28,73149.34,74190.31,73120.33,73651.35
SENSEX,2024-04-01,73968.62,74254.62,73909.39,74014.55
SENSEX,2024-04-02,74022.3,74099.78,73743.77,73903.91
SENSEX,2024-04-03,73757.23,74151.21,73540.27,73876.82
SENSEX,2024-04-04,74413.82,74501.73,73485.12,74227.63
SENSEX,2024-04-05,74287.02,74361.11,73946.92,74248.22
SENSEX,2024-04-08,74555.44,74869.3,74410.07,74742.5
SENSEX,2024-04-09,75124.28,75124.28,74603.37,74683.7
SENSEX,2024-04-10,74953.96,75105.14,74807.55,75038.15
SENSEX,2024-04-12,74889.64,74951.88,74189.31,74244.9
SENSEX,2024-04-15,73315.16,73905.8,73315.16,73399.78
SENSEX,2024-04-16,72892.14,73135.43,72685.03,72943.68
SENSEX,2024-04-18,73183.1,73473.05,72365.67,72488.99
SENSEX,2024-04-19,71999.65,73210.17,71816.46,73088.33
SENSEX,2024-04-22,73666.51,73767.8,73227.32,73648.62
SENSEX,2024-04-23,74048.94,74059.89,73688.31,73738.45
SENSEX,2024-04-24,73957.57,74121.61,73788.61,73852.94
SENSEX,2024-04-25,73572.34,74571.25,73556.15,74339.44
SENSEX,2024-04-26,74509.31,74515.91,73616.65,73730.16
SENSEX,2024-04-29,73982.75,74721.15,73922.34,74671.28
SENSEX,2024-04-30,74800.89,75111.39,74346.4,74482.78
SENSEX,2024-05-02,74391.73,74812.43,74360.69,74611.11
SENSEX,2024-05-03,75017.82,75095.18,73467.73,73878.15
SENSEX,2024-05-06,74196.68,74359.69,73786.29,73895.54
SENSEX,2024-05-07,73973.3,74026.8,73259.26,73511.85
SENSEX,2024-05-08,73225.0,73684.93,73073.92,73466.39
SENSEX,2024-05-09,73499.49,73499.49,72334.18,72404.17
SENSEX,2024-05-10,72475.45,72946.54,72366.29,72664.47
SENSEX,2024-05-13,72476.65,72863.56,71866.01,72776.13
SENSEX,2024-05-14,72696.72,73286.26,72683.99,73104.61
SENSEX,2024-05-15,73200.23,73301.47,72822.66,72987.03
SENSEX,2024-05-16,73338.24,73749.47,72529.97,73663.72
SENSEX,2024-05-17,73711.31,74070.84,73459.8,73917.03
SENSEX,2024-05-21,73842.96,74189.19,73762.37,73953.31
SENSEX,2024-05-22,74165.52,74307.79,73860.33,74221.06
SENSEX,2024-05-23,74253.53,75499.91,74158.35,75418.04
SENSEX,2024-05-24,75335.45,75636.5,75244.22,75410.39
SENSEX,2024-05-27,75655.46,76009.68,75175.27,75390.5
SENSEX,2024-05-28,75585.4,75585.4,75083.22,75170.45
SENSEX,2024-05-29,74826.94,74986.22,74454.55,74502.9
SENSEX,2024-05-30,74365.88,74493.55,73668.73,73885.6
SENSEX,2024-05-31,74208.53,74478.89,73765.15,73961.31
SENSEX,2024-06-03,76583.29,76738.89,75678.43,76468.78
SENSEX,2024-06-04,76285.78,76300.46,70234.43,72079.05
SENSEX,2024-06-05,73027.88,74534.82,71879.44,74382.24
SENSEX,2024-06-06,75078.7,75297.73,74474.94,75074.51
SENSEX,2024-06-07,75031.79,76795.31,74941.88,76693.36
SENSEX,2024-06-10,76935.41,77079.04,76379.73,76490.08
SENSEX,2024-06-11,76680.9,76860.53,76296.44,76456.59
SENSEX,2024-06-12,76679.11,77050.53,76533.78,76606.57
SENSEX,2024-06-13,77102.05,77145.46,76719.7,76810.9
SENSEX,2024-06-14,76912.38,77081.3,76549.05,76992.77
SENSEX,2024-06-18,77235.31,77366.77,77071.44,77301.14
SENSEX,2024-06-19,77543.22,77851.63,76954.87,77337.59
SENSEX,2024-06-20,77554.83,77643.09,77100.36,77478.93
SENSEX,2024-06-21,77729.48,77808.45,76802.0,77209.9
SENSEX,2024-06-24,76885.65,77423.02,76745.94,77341.08
SENSEX,2024-06-25,77529.19,78164.71,77459.6,78053.52
SENSEX,2024-06-26,78094.02,78759.4,77945.94,78674.25
SENSEX,2024-06-27,78758.67,79396.03,78467.34,79243.18
SENSEX,2024-06-28,79457.58,79671.58,78905.89,79032.73
SENSEX,2024-07-01,79043.35,79561.0,78971.79,79476.19
SENSEX,2024-07-02,79840.37,79855.87,79231.11,79441.45
SENSEX,2024-07-03,80013.77,80074.3,79754.95,79986.8
SENSEX,2024-07-04,80321.79,80392.64,79986.41,80049.67
SENSEX,2024-07-05,79778.98,80149.87,79478.96,79996.6
SENSEX,2024-07-08,79915.0,80067.46,79731.83,79960.38
SENSEX,2024-07-09,80107.21,80397.17,79998.56,80351.64
SENSEX,2024-07-10,80481.36,80481.36,79435.76,79924.77
